Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source
ELEC,Nissan Sorel-Tracy,4995 rue Saint-Laurent,,Sorel-Tracy,QC,J3R 5S8,,450-743-9418,E,,Public,8am-8pm M-Th; 8am-5pm F,,,,,,2,,,Non-Networked,,200-9,46.024209,-73.154564,2019-08-09,82842,2020-04-14 22:13:47 UTC,P,,,2011-03-15,,,,,J1772,CA,,8:00-20:00 L-J; 8:00-17:00 V,,Public,,public,,,CAR_DEALER,,,,,,,Free,Gratuit,,,,,,,,
ELEC,Amosphere Complexe Hotelier,1031 Route 111 E,,Amos,QC,J9T 1N2,,819-732-7777,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,GPS,48.5597335603757,-78.104651390213,2019-08-09,82904,2020-04-14 22:13:47 UTC,P,,,2014-02-15,,,,,J1772,CA,,Accessible 24 heures par jour,,Public,,public,,,HOTEL,,,,,,,Free,Gratuit,,,,,,,,
ELEC,Arena Louis-Philippe Dalpe,2000 boul. Rene-Gaultier,,Varennes,QC,J3X 1N8,,450-652-9888,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,200-9,45.676313,-73.433481,2019-07-10,82905,2020-04-14 22:13:47 UTC,P,,,2015-06-01,,,,,J1772,CA,,Accessible 24 heures par jour,,Public,,public,,,ARENA,,,,,,,Free,Gratuit,,,,,,,,
ELEC,Assurance Romeo Bessette et Fils Inc,815 rue Plante,,St-Jean-sur-Richelieu,QC,J3A 1M8,,450-359-8888  514-591-6357,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,200-9,45.327381,-73.272159,2020-04-10,82906,2020-04-14 22:13:47 UTC,P,,,2013-03-15,,,,,J1772,CA,,Accessible 24 heures par jour,,Public,,public,,,OFFICE_BLDG,,,,,,,Free,Gratuit,,,,,,,,
ELEC,Auberge Gouverneur Shawinigan,1100 Promenade du Saint-Maurice,,Shawinigan,QC,G9N 1L8,,888-922-1100,E,,Public,24 hours daily; for guests only,,,,,,1,,,Non-Networked,,200-9,46.5405404,-72.7547095,2020-04-10,82908,2020-04-14 22:13:47 UTC,P,,,2015-08-15,,,,,J1772,CA,,Accessible 24 heures par jour; pour les clients seulement,,Public,,public,,,HOTEL,,,,,,,Free,Gratuit,,,,,,,,
ELEC,Auberge la Goeliche,22 rue du Quai,,St-Petronille,QC,G0A 4C0,,418-828-2248,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,200-9,46.845153,-71.131891,2020-04-10,82911,2020-04-14 22:13:47 UTC,P,,,2014-08-15,,,,,J1772,CA,,Accessible 24 heures par jour,,Public,,public,,,HOTEL,,,,,,,Free,Gratuit,,,,,,,,
ELEC,BMR Yamachiche,1031 boul. Duchesne,,Yamachiche,QC,G0X 3L0,,819-296-3713,E,,Public,24 hours daily; for client use only,,,,,,1,,,Non-Networked,,200-9,46.2901373412201,-72.836292170639,2019-06-06,82912,2020-04-14 22:13:47 UTC,P,,,2015-08-15,,,,,J1772,CA,,Accessible 24 heures par jour; Pour l'usage des clients seulement,,Public,,public,,,SHOPPING_CENTER,,,,,,,Free,Gratuit,,,,,,,,
ELEC,Baie-des-Sables,2370 Ch du Lac,,Lac Megantic,QC,G6B 2S5,,819-583-3965,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,200-9,45.589096,-70.936382,2019-09-11,82915,2020-04-14 22:13:47 UTC,P,,,2013-02-15,,,,,J1772,CA,,Accessible 24 heures par jour,,Public,,public,,,CAMPGROUND,,,,,,,Free,Gratuit,,,,,,,,
ELEC,Best Western Albert Centre-Ville,84 Ave Principale,,Rouyn-Noranda,QC,J9X 4P2,,819-762-3545,E,,Public,24 hours daily; for guests only,,,,,,1,,,Non-Networked,,200-9,48.240888,-79.0204,2020-04-10,82920,2020-04-14 22:13:47 UTC,P,,,2014-02-15,,,,,J1772,CA,,Accessible 24 heures par jour; pour les clients seulement,,Public,,public,,,HOTEL,,,,,,,Free,Gratuit,,,,,,,,
ELEC,Best Western Plus,1231 boul. Albiny Paquette,,Mont-Laurier,QC,J9L 1M6,,819-623-5252,E,,Public,24 hours daily; for guest use only,,,,,,1,,,Non-Networked,,200-9,46.552054,-75.476595,2019-09-11,82921,2020-04-14 22:13:47 UTC,P,,,2015-01-15,,,,,J1772,CA,,Accessible 24 heures par jour; Ã  l'usage des clients seulement,,Public,,public,,,HOTEL,,,,,,,Free,Gratuit,,,,,,,,
