,stop_id,stop_code,stop_name,stop_url,wheelchair,route_id,loc_type,service_id,geometry
0,43-01,10118,Station Angrignon,,2,,2,20S,POINT (296677.5615505428 5034048.338108676)
1,43,10118,Station Angrignon,http://www.stm.info/fr/infos/reseaux/metro/angrignon,2,1,0,20S,POINT (296733.6694496933 5034064.601947154)
2,42-01,10120,Station Monk - Édicule Nord,,2,,2,20S,POINT (297515.7530601664 5034601.625864963)
3,42-02,10120,Station Monk - Édicule Sud,,2,,2,20S,POINT (297496.0035076425 5034568.309884324)
4,42,10120,Station Monk,http://www.stm.info/fr/infos/reseaux/metro/monk,2,1,0,20S,POINT (297506.8170523411 5034585.077907545)
5,41-01,10122,Station Jolicoeur,,2,,2,20S,POINT (298377.7853051834 5035209.676907413)
6,41,10122,Station Jolicoeur,http://www.stm.info/fr/infos/reseaux/metro/jolicoeur,2,1,0,20S,POINT (298410.9715306593 5035234.42502102)
7,40-01,10124,Station Verdun - Édicule Nord,,2,,2,20S,POINT (299182.1823886569 5035479.507530677)
8,40-02,10124,Station Verdun - Édicule Sud,,2,,2,20S,POINT (299206.5770268052 5035472.929125422)
9,40,10124,Station Verdun,http://www.stm.info/fr/infos/reseaux/metro/verdun,2,1,0,20S,POINT (299167.5013450203 5035503.858077093)
10,39-01,10126,Station De l'Église - Édicule Wellington,,2,,2,20S,POINT (299543.5036764175 5035767.687844027)
11,39-02,10126,Station De l'Église,,2,,2,20S,POINT (299654.7216293654 5035879.281248518)
12,39,10126,Station De l'Église,http://www.stm.info/fr/infos/reseaux/metro/de-l-eglise,2,1,0,20S,POINT (299554.615557155 5035776.124424324)
13,38-01,10128,Station LaSalle,,2,,2,20S,POINT (299628.8566251328 5036758.673051925)
14,38,10128,Station LaSalle,http://www.stm.info/fr/infos/reseaux/metro/lasalle,2,1,0,20S,POINT (299618.5654124837 5036795.021019222)
15,37-01,10130,Station Charlevoix,,2,,2,20S,POINT (299378.2787320415 5037601.472040656)
16,37,10130,Station Charlevoix,http://www.stm.info/fr/infos/reseaux/metro/charlevoix,2,1,0,20S,POINT (299379.3091701493 5037617.807275292)
17,36-01,10132,Station Lionel-Groulx,,1,,2,20S,POINT (298577.276931949 5038108.967890063)
18,36,10132,Station Lionel-Groulx,http://www.stm.info/fr/infos/reseaux/metro/lionel-groulx,1,"1,2",0,20S,POINT (298531.9733084029 5038068.005886682)
19,35-01,10134,Station Atwater - Édicule De Maisonneuve (A),,2,,2,20S,POINT (298055.194051625 5038875.416759301)
20,35-02,10134,Station Atwater - Édicule Ste-Catherine (B),,2,,2,20S,POINT (298218.3518161439 5038828.01324835)
21,35,10134,Station Atwater,http://www.stm.info/fr/infos/reseaux/metro/atwater,2,1,0,20S,POINT (298092.5920041818 5038908.493553283)
22,34-01,10136,Station Guy-Concordia - Édicule Guy (B),,2,,2,20S,POINT (298621.2813653392 5039531.392688969)
23,34-02,10136,Station Guy-Concordia - Édicule St-Mathieu (A),,2,,2,20S,POINT (298488.364691593 5039402.946964112)
24,34,10136,Station Guy-Concordia,http://www.stm.info/fr/infos/reseaux/metro/guy-concordia,2,1,0,20S,POINT (298601.4178353086 5039519.410178113)
25,33-01,10138,Station Peel - Édicule Ouest,,2,,2,20S,POINT (298941.0900992635 5040110.298268992)
26,33-03,10138,Station Peel - Édicule Est,,2,,2,20S,POINT (298993.1515295568 5040125.585911597)
27,33-04,10138,Station Peel - Édicule Stanley,,2,,2,20S,POINT (298961.1540433286 5040004.372173408)
28,33,10138,Station Peel,http://www.stm.info/fr/infos/reseaux/metro/peel,2,1,0,20S,POINT (298961.0951102574 5040109.05719425)
29,33-02,10138,Station Peel - Édicule Metcalfe,,2,,2,20S,POINT (299000.0033557671 5040182.81181218)
30,32-01,10140,Station McGill - Édicule Tour KPMG,,2,,2,20S,POINT (299227.5120072796 5040468.655834974)
31,32-02,10140,Station McGill - Édicule Union,,2,,2,20S,POINT (299240.6295704678 5040544.768669447)
32,32-03,10140,Station McGill - Édicule Ste-Catherine,,2,,2,20S,POINT (299261.796975829 5040533.970287704)
33,32-04,10140,Station McGill - Édicule University,,2,,2,20S,POINT (299163.3047298591 5040499.385211932)
34,32-06,10140,Station McGill - Édicule De Maisonneuve,,2,,2,20S,POINT (299170.0092791168 5040394.583039725)
35,32-07,10140,Station McGill - Édicule McGill College,,2,,2,20S,POINT (299145.4726013705 5040395.716400797)
36,32,10140,Station McGill,http://www.stm.info/fr/infos/reseaux/metro/mcgill,2,1,0,20S,POINT (299205.938862015 5040462.785102176)
37,31-01,10142,Station Place-des-Arts - Édicule Jeanne-Mance,,2,,2,20S,POINT (299477.0227006536 5040923.408100124)
38,31-02,10142,Station Place-des-Arts - Édicule De Bleury Nord,,2,,2,20S,POINT (299377.7725720555 5040817.141014415)
39,31-03,10142,Station Place-des-Arts - Édicule De Bleury Sud,,2,,2,20S,POINT (299431.6678355332 5040791.979156436)
40,31-04,10142,Station Place-des-Arts - Édicule UQAM,,2,,2,20S,POINT (299481.1057359996 5041038.980549548)
41,31,10142,Station Place-des-Arts,http://www.stm.info/fr/infos/reseaux/metro/place-des-arts,2,1,0,20S,POINT (299452.7223589668 5040924.428933361)
42,30-01,10144,Station Saint-Laurent,,2,,2,20S,POINT (299727.8497969944 5041214.807311633)
43,30,10144,Station Saint-Laurent,http://www.stm.info/fr/infos/reseaux/metro/saint-laurent,2,1,0,20S,POINT (299729.1177413551 5041236.810169433)
44,11-01,10146,Station Berri-UQAM - Édicule Ste-Catherine (B),,2,,2,20S,POINT (300139.2508803411 5041660.789357446)
45,11-02,10146,Station Berri-UQAM - Édicule St-Denis (D),,1,,2,20S,POINT (299967.3885513498 5041589.351145353)
46,11-03,10146,Station Berri-UQAM - Édicule Berri (A),,2,,2,20S,POINT (300044.959197195 5041675.195977205)
47,11-04,10146,Station Berri-UQAM - Édicule boul. De Maisonneuve (C),,2,,2,20S,POINT (300130.3258768661 5041846.273301183)
48,11-05,10146,Station Berri-UQAM - Édicule Gare d'autocars de Montréal,,2,,2,20S,POINT (299983.7701421092 5041759.257530411)
49,9999111,10146,Station Berri-UQAM 1,http://www.stm.info/fr/infos/reseaux/metro/berri-uqam,2,1,0,20S,POINT (300027.7133659458 5041702.547245329)
50,9999112,10146,Station Berri-UQAM 2,http://www.stm.info/fr/infos/reseaux/metro/berri-uqam,1,2,0,20S,POINT (300030.1341878044 5041700.989573431)
51,9999114,10146,Station Berri-UQAM 4,http://www.stm.info/fr/infos/reseaux/metro/berri-uqam,2,4,0,20S,POINT (300033.1013244015 5041698.653571839)
52,29-01,10148,Station Beaudry,,2,,2,20S,POINT (300436.7751409055 5042119.101166301)
53,29,10148,Station Beaudry,http://www.stm.info/fr/infos/reseaux/metro/beaudry,2,1,0,20S,POINT (300437.7794712009 5042102.875362795)
54,28-01,10150,Station Papineau,,2,,2,20S,POINT (300732.5809786889 5042644.662689589)
55,28,10150,Station Papineau,http://www.stm.info/fr/infos/reseaux/metro/papineau,2,1,0,20S,POINT (300682.9968258974 5042675.811703049)
56,27-01,10152,Station Frontenac,,2,,2,20S,POINT (300727.7927591946 5043691.853548241)
57,27,10152,Station Frontenac,http://www.stm.info/fr/infos/reseaux/metro/frontenac,2,1,0,20S,POINT (300723.2896533833 5043733.308386388)
58,26-01,10154,Station Préfontaine - Édicule Hochelaga Sud (A),,2,,2,20S,POINT (300547.6137354205 5044624.697428286)
59,26-02,10154,Station Préfontaine - Édicule Hochelaga Nord (B),,2,,2,20S,POINT (300521.3053426588 5044637.717691514)
60,26,10154,Station Préfontaine,http://www.stm.info/fr/infos/reseaux/metro/prefontaine,2,1,0,20S,POINT (300568.0104310952 5044646.131965919)
61,25-01,10156,Station Joliette - Édicule Hochelaga Nord (A),,2,,2,20S,POINT (300777.8298831057 5045230.878103807)
62,25-02,10156,Station Joliette - Édicule Hochelaga Sud (B),,2,,2,20S,POINT (300805.0046758493 5045232.638825856)
63,25,10156,Station Joliette,http://www.stm.info/fr/infos/reseaux/metro/joliette,2,1,0,20S,POINT (300787.1114946245 5045214.424707685)
64,24-01,10158,Station Pie-IX - Édicule Est,,2,,2,20S,POINT (300753.2625840388 5046002.146291228)
65,24-02,10158,Station Pie-IX - Édicule Ouest,,2,,2,20S,POINT (300742.931994325 5045964.145987961)
66,24,10158,Station Pie-IX,http://www.stm.info/fr/infos/reseaux/metro/pie-ix,2,1,0,20S,POINT (300759.0235528197 5045976.36005807)
67,23-01,10160,Station Viau,,2,,2,20S,POINT (301117.946862205 5046787.1772334)
68,23,10160,Station Viau,http://www.stm.info/fr/infos/reseaux/metro/viau,2,1,0,20S,POINT (301089.5112175822 5046753.965644537)
69,22,10162,Station Assomption,http://www.stm.info/fr/infos/reseaux/metro/assomption,2,1,0,20S,POINT (301105.2197462888 5047709.467081106)
70,22-01,10162,Station Assomption,,2,,2,20S,POINT (301147.2874057837 5047703.219021732)
71,21-01,10164,Station Cadillac - Édicule Sherbrooke Sud,,2,,2,20S,POINT (301181.8965324348 5048567.360583804)
72,21-02,10164,Station Cadillac - Édicule Sherbrooke Nord,,2,,2,20S,POINT (301134.7476957209 5048549.495759597)
73,21,10164,Station Cadillac,http://www.stm.info/fr/infos/reseaux/metro/cadillac,2,1,0,20S,POINT (301154.5707738784 5048549.373054481)
74,20-03,10166,Station Langelier - Édicule Sherbrooke Nord,,2,,2,20S,POINT (301404.658950523 5049190.464219789)
75,20-02,10166,Station Langelier - Édicule Langelier Ouest,,2,,2,20S,POINT (301449.0533337501 5049175.437466878)
76,20-01,10166,Station Langelier - Édicule Sherbrooke Sud,,2,,2,20S,POINT (301461.9518038612 5049217.660766239)
77,20,10166,Station Langelier,http://www.stm.info/fr/infos/reseaux/metro/langelier,2,1,0,20S,POINT (301434.085826425 5049204.117573726)
78,19,10168,Station Radisson,http://www.stm.info/fr/infos/reseaux/metro/radisson,2,1,0,20S,POINT (301735.9800496101 5049947.992219213)
79,19-02,10168,Station Radisson - Édicule Sherbrooke Sud,,2,,2,20S,POINT (301763.29744327 5049964.759868042)
80,19-01,10168,Station Radisson - Édicule Sherbrooke Nord,,2,,2,20S,POINT (301712.4092137993 5049934.112277776)
81,19-03,10168,Station Radisson - Édicule Terminus Radisson,,2,,2,20S,POINT (301687.3842300308 5049977.466236096)
82,18-01,10170,Station Honoré-Beaugrand - Édicule Sherbrooke Sud (C),,2,,2,20S,POINT (302098.2883330489 5050743.754657875)
83,18-02,10170,Station Honoré-Beaugrand - Édicule Sherbrooke Nord (B),,2,,2,20S,POINT (302066.3929339441 5050774.329906855)
84,18-03,10170,Station Honoré-Beaugrand - Édicule Honoré-Beaugrand Nord (A),,1,,2,20S,POINT (301965.5225631233 5050784.2655704)
85,18,10170,Station Honoré-Beaugrand,http://www.stm.info/fr/infos/reseaux/metro/honore-beaugrand,1,1,0,20S,POINT (302040.0869888793 5050741.446281152)
86,65-02,10222,Station Côte-Vertu - Édicule Sud,,2,,2,20S,POINT (290504.4346089344 5041564.434326023)
87,65-01,10222,Station Côte-Vertu - Édicule Mac Donald,,2,,2,20S,POINT (290540.2088856022 5041525.679244444)
88,65-03,10222,Station Côte-Vertu - Édicule Nord,,1,,2,20S,POINT (290495.3086274346 5041605.462565212)
89,65,10222,Station Côte-Vertu,http://www.stm.info/fr/infos/reseaux/metro/cote-vertu,1,2,0,20S,POINT (290521.0955069496 5041607.070800138)
90,54-02,10224,Station Du Collège,,1,,2,20S,POINT (291143.1060432928 5041073.256664538)
91,54,10224,Station Du Collège,http://www.stm.info/fr/infos/reseaux/metro/du-college,1,2,0,20S,POINT (291141.8885168975 5041052.366660716)
92,54-01,10224,Station Du Collège - Édicule Cartier,,2,,2,20S,POINT (291317.6005745619 5041006.756351926)
93,53,10228,Station De la Savane,http://www.stm.info/fr/infos/reseaux/metro/de-la-savane,2,2,0,20S,POINT (292175.7769168946 5040027.018937231)
94,53-01,10228,Station De la Savane,,2,,2,20S,POINT (292155.9133092717 5040059.175737817)
95,52,10230,Station Namur,http://www.stm.info/fr/infos/reseaux/metro/namur,2,2,0,20S,POINT (292855.3215870755 5039424.693951994)
96,52-01,10230,Station Namur,,2,,2,20S,POINT (292833.5067003269 5039461.075237656)
97,51-01,10232,Station Plamondon,,2,,2,20S,POINT (293789.0646351644 5039508.446590706)
98,51,10232,Station Plamondon,http://www.stm.info/fr/infos/reseaux/metro/plamondon,2,2,0,20S,POINT (293993.9224899694 5039422.742334135)
99,51-02,10232,Station Plamondon - Édicule Van Horne,,2,,2,20S,POINT (294023.1743897649 5039389.352865416)
100,50,10234,Station Côte-Sainte-Catherine,http://www.stm.info/fr/infos/reseaux/metro/cote-sainte-catherine,2,2,0,20S,POINT (294396.7947345539 5039167.795090922)
101,50-01,10234,Station Côte Sainte-Catherine,,2,,2,20S,POINT (294417.3563584814 5039170.983847299)
102,9999495,10236,Station Snowdon 5,http://www.stm.info/fr/infos/reseaux/metro/snowdon,2,5,0,20S,POINT (294813.1793448928 5038394.428750568)
103,49-01,10236,Station Snowdon,,1,,2,20S,POINT (294798.9526794248 5038394.673647879)
104,9999492,10236,Station Snowdon 2,http://www.stm.info/fr/infos/reseaux/metro/snowdon,1,2,0,20S,POINT (294815.2952464427 5038397.759299437)
105,48-01,10238,Station Villa-Maria,,2,,2,20S,POINT (295427.6366431851 5037737.590581899)
106,48,10238,Station Villa-Maria,http://www.stm.info/fr/infos/reseaux/metro/villa-maria,2,2,0,20S,POINT (295432.5963613057 5037760.698282771)
107,47-01,10242,Station Vendôme,,2,,2,20S,POINT (296659.4739184128 5037114.767138425)
108,47,10242,Station Vendôme,http://www.stm.info/fr/infos/reseaux/metro/vendome,2,2,0,20S,POINT (296691.6356027103 5037135.729144937)
109,46-03,10244,Station Place-Saint-Henri - Édicule St-Jacques Nord,,2,,2,20S,POINT (298057.0994068602 5037519.181244954)
110,46-01,10244,Station Place-Saint-Henri - Édicule St-Ferdinand,,2,,2,20S,POINT (298026.7992850045 5037478.429083308)
111,46-02,10244,Station Place-Saint-Henri - Édicule St-Jacques Sud,,2,,2,20S,POINT (298099.0788407365 5037515.469037246)
112,46,10244,Station Place-Saint-Henri,http://www.stm.info/fr/infos/reseaux/metro/place-saint-henri,2,2,0,20S,POINT (298027.2046893231 5037491.875390487)
113,17-01,10248,Station Georges-Vanier,,2,,2,20S,POINT (298824.5579959393 5038783.84411368)
114,17,10248,Station Georges-Vanier,http://www.stm.info/fr/infos/reseaux/metro/georges-vanier,2,2,0,20S,POINT (298792.8168389167 5038777.651096621)
115,16,10250,Station Lucien-L'Allier,http://www.stm.info/fr/infos/reseaux/metro/lucien-l-allier,2,2,0,20S,POINT (299245.0326297067 5039427.125173721)
116,16-01,10250,Station Lucien-L'Allier,,2,,2,20S,POINT (299243.7985319223 5039445.685045643)
117,15-01,10252,Station Bonaventure - Édicule Peel,,2,,2,20S,POINT (299406.5950835077 5039712.589544527)
118,15,10252,Station Bonaventure,http://www.stm.info/fr/infos/reseaux/metro/bonaventure,2,2,0,20S,POINT (299545.3900759043 5039798.1534382)
119,15-02,10252,Station Bonaventure - Édicule De la Cathédrale,,2,,2,20S,POINT (299567.896535214 5039796.245423664)
120,14-05,10254,Station Square-Victoria-OACI - Édicule Belmont (D),,2,,2,20S,POINT (299711.6152448806 5040272.654927687)
121,14,10254,Station Square-Victoria–OACI,http://www.stm.info/fr/infos/reseaux/metro/square-victoria–oaci,2,2,0,20S,POINT (299867.4818075392 5040225.855689334)
122,14-01,10254,Station Square-Victoria-OACI - Édicule Viger (C),,2,,2,20S,POINT (299821.7267913828 5040177.10550261)
123,14-02,10254,Station Square-Victoria-OACI - Édicule St-Antoine (A),,2,,2,20S,POINT (299947.9551625211 5040201.677646554)
124,14-03,10254,Station Square-Victoria-OACI - Édicule St-Jacques (B),,2,,2,20S,POINT (300052.0820590329 5040143.143370887)
125,13-02,10256,Station Place-d'Armes - Édicule Viger,,2,,2,20S,POINT (300034.5861199343 5040670.137778001)
126,13,10256,Station Place-d'Armes,http://www.stm.info/fr/infos/reseaux/metro/place-d-armes,1,2,0,20S,POINT (300146.8320259669 5040715.839373225)
127,13-01,10256,Station Place-d'Armes - Édicule St-Urbain,,1,,2,20S,POINT (300132.6732979036 5040695.51298306)
128,12-01,10258,Station Champ-de-Mars - Édicule Nord,,1,,2,20S,POINT (300398.5127210508 5041142.84404969)
129,12-02,10258,Station Champ-de-Mars - Édicule St-Antoine,,2,,2,20S,POINT (300520.0514867241 5041082.527155612)
130,12,10258,Station Champ-de-Mars,http://www.stm.info/fr/infos/reseaux/metro/champ-de-mars,1,2,0,20S,POINT (300377.79528741 5041126.744664771)
131,10,10262,Station Sherbrooke,http://www.stm.info/fr/infos/reseaux/metro/sherbrooke,2,2,0,20S,POINT (299392.4997202898 5042129.138213056)
132,10-02,10262,Station Sherbrooke - Édicule Berri Ouest,,2,,2,20S,POINT (299471.2581823405 5042048.389804767)
133,10-01,10262,Station Sherbrooke - Édicule Berri Est,,2,,2,20S,POINT (299446.6244877707 5042111.421983793)
134,09-01,10264,Station Mont-Royal,,2,,2,20S,POINT (298412.7451411931 5042740.835034572)
135,9,10264,Station Mont-Royal,http://www.stm.info/fr/infos/reseaux/metro/mont-royal,2,2,0,20S,POINT (298397.7112384197 5042782.524498578)
136,08-01,10266,Station Laurier - Édicule St-Joseph/Gilford (A),,2,,2,20S,POINT (298063.3934586347 5043017.47233483)
137,08-02,10266,Station Laurier - Édicule avenue Laurier (B),,2,,2,20S,POINT (297853.6757013085 5043101.938473579)
138,8,10266,Station Laurier,http://www.stm.info/fr/infos/reseaux/metro/laurier,2,2,0,20S,POINT (298011.4913702799 5043057.20209774)
139,07-01,10268,Station Rosemont,,1,,2,20S,POINT (297148.0969859086 5043490.940822865)
140,7,10268,Station Rosemont,http://www.stm.info/fr/infos/reseaux/metro/rosemont,1,2,0,20S,POINT (297162.762535737 5043539.820678516)
141,6,10270,Station Beaubien,http://www.stm.info/fr/infos/reseaux/metro/beaubien,2,2,0,20S,POINT (296623.7287050267 5043942.906676352)
142,06-01,10270,Station Beaubien,,2,,2,20S,POINT (296637.8983172791 5043968.448417031)
143,9999052,10272,Station Jean-Talon 2,http://www.stm.info/fr/infos/reseaux/metro/jean-talon,1,2,0,20S,POINT (295904.6868456569 5044355.293915551)
144,05-03,10272,Station Jean-Talon - Édicule Tour Jean-Talon,,2,,2,20S,POINT (295940.8965795985 5044391.4714859)
145,05-02,10272,Station Jean-Talon - Édicule Plaza St-Hubert,,2,,2,20S,POINT (295962.198236339 5044489.125947339)
146,9999055,10272,Station Jean-Talon 5,http://www.stm.info/fr/infos/reseaux/metro/jean-talon,2,5,0,20S,POINT (295908.294401917 5044365.957414113)
147,05-01,10272,Station Jean-Talon - Édicule Sud,,1,,2,20S,POINT (295904.0059380508 5044315.732098238)
148,05-04,10272,Station Jean-Talon - Édicule Nord,,2,,2,20S,POINT (295872.2952007033 5044313.332283611)
149,4,10274,Station Jarry,http://www.stm.info/fr/infos/reseaux/metro/jarry,2,2,0,20S,POINT (294744.6802009956 5044816.575962186)
150,04-01,10274,Station Jarry,,2,,2,20S,POINT (294763.1504789628 5044842.106619671)
151,03-01,10276,Station Crémazie - Édicule Crémazie Sud (B),,2,,2,20S,POINT (294021.1077169157 5045098.274652619)
152,03-02,10276,Station Crémazie - Édicule Terminus Crémazie (A),,2,,2,20S,POINT (293922.340445855 5045150.788294715)
153,03-03,10276,Station Crémazie - Édicule Crémazie Nord (A),,2,,2,20S,POINT (293963.4500524034 5045126.490381639)
154,3,10276,Station Crémazie,http://www.stm.info/fr/infos/reseaux/metro/cremazie,2,2,0,20S,POINT (293941.9200910083 5045139.196651793)
155,2,10278,Station Sauvé,http://www.stm.info/fr/infos/reseaux/metro/sauve,2,2,0,20S,POINT (292618.193054427 5045661.17075341)
156,02-01,10278,Station Sauvé - Édicule Nord,,2,,2,20S,POINT (292583.2817647453 5045656.34891312)
157,02-02,10278,Station Sauvé - Édicule Sud,,2,,2,20S,POINT (292626.7565965084 5045648.15168777)
158,01-01,10280,Station Henri-Bourassa - Édicule rue Berri,,2,,2,20S,POINT (291645.4278273716 5046050.987671927)
159,01-05,10280,Station Henri-Bourassa - Édicule Terminus Henri-Bourassa,,2,,2,20S,POINT (291739.6183937064 5046215.932766865)
160,01-04,10280,Station Henri-Bourassa - Édicule Sud,,1,,2,20S,POINT (291730.1055793664 5046259.182951977)
161,01-03,10280,Station Henri-Bourassa - Édicule Nord,,2,,2,20S,POINT (291666.1222522035 5046202.083764091)
162,1,10280,Station Henri-Bourassa,http://www.stm.info/fr/infos/reseaux/metro/henri-bourassa,1,2,0,20S,POINT (291670.1832869252 5046165.401693677)
163,66-02,10282,Station Cartier - Édicule boul. Cartier,,2,,2,20S,POINT (290637.7135277441 5046848.334601234)
164,66-01,10282,Station Cartier - Édicule Terminus Cartier,,1,,2,20S,POINT (290599.7550957612 5046736.843816657)
165,66,10282,Station Cartier,http://www.stm.info/fr/infos/reseaux/metro/cartier,1,2,0,20S,POINT (290567.5684639281 5046692.352855979)
166,67-01,10286,Station De la Concorde,,1,,2,20S,POINT (288437.5741213511 5046753.898068438)
167,67,10286,Station De la Concorde,http://www.stm.info/fr/infos/reseaux/metro/de-la-concorde,1,2,0,20S,POINT (288453.7901408683 5046775.415413232)
168,68-01,10288,Station Montmorency,,1,,2,20S,POINT (287498.0967554208 5046521.154971785)
169,68,10288,Station Montmorency,http://www.stm.info/fr/infos/reseaux/metro/montmorency,1,2,0,20S,POINT (287432.767743489 5046526.781216718)
170,45,10452,Station Jean-Drapeau,http://www.stm.info/fr/infos/reseaux/metro/jean-drapeau,2,4,0,20S,POINT (302211.6864025258 5041390.433609055)
171,45-01,10452,Station Jean-Drapeau,,2,,2,20S,POINT (302192.6154733749 5041374.88320696)
172,44-01,10454,Station Longueuil–U.-de-Sherbrooke - Édicule Longueuil-U-de-S,,2,,2,20S,POINT (303084.5079057522 5042808.385697269)
173,44-02,10454,Station Longueuil–U.-de-Sherbrooke - Édicule Terminus Longueuil,,2,,2,20S,POINT (303082.3036323134 5042746.152979988)
174,44-03,10454,Station Longueuil–U.-de-Sherbrooke - Édicule De Sérigny,,2,,2,20S,POINT (303032.0774436345 5042755.057409406)
175,44,10454,Station Longueuil–Université-de-Sherbrooke,http://www.stm.info/fr/infos/reseaux/metro/longueuil–universite-de-sherbrooke,2,4,0,20S,POINT (303073.7968914681 5042774.938225312)
176,55-02,10534,Station Côte-des-Neiges - Édicule Est (B),,2,,2,20S,POINT (295191.892069314 5039655.9472917)
177,55-01,10534,Station Côte-des-Neiges - Édicule Ouest (A),,2,,2,20S,POINT (295223.3114689193 5039605.44598688)
178,55,10534,Station Côte-des-Neiges,http://www.stm.info/fr/infos/reseaux/metro/cote-des-neiges,2,5,0,20S,POINT (295156.8152756971 5039665.558302145)
179,56-03,10536,Station Université-de-Montréal,,2,,2,20S,POINT (295636.9957019238 5040413.41536131)
180,56-01,10536,Station Université-de-Montréal - Édicule Louis-Colin,,2,,2,20S,POINT (295555.4332868856 5040321.852097494)
181,56-02,10536,Station Université-de-Montréal - Édicule Édouard-Montpetit,,2,,2,20S,POINT (295597.0308727373 5040391.247680088)
182,56,10536,Station Université-de-Montréal,http://www.stm.info/fr/infos/reseaux/metro/universite-de-montreal,2,5,0,20S,POINT (295602.3131810629 5040369.680575501)
183,57,10538,Station Édouard-Montpetit,http://www.stm.info/fr/infos/reseaux/metro/edouard-montpetit,2,5,0,20S,POINT (295981.6683519852 5041117.268583465)
184,57-02,10538,Station Édouard-Montpetit - Édicule Vincent-D'Indy (B),,2,,2,20S,POINT (296005.4584523039 5041143.350948315)
185,57-03,10538,Station Édouard-Montpetit - Édicule boul. Édouard-Montpetit (A),,2,,2,20S,POINT (295987.3286225804 5041086.14399685)
186,58,10540,Station Outremont,http://www.stm.info/fr/infos/reseaux/metro/outremont,2,5,0,20S,POINT (295817.8378112001 5042278.819405723)
187,58-01,10540,Station Outremont,,2,,2,20S,POINT (295808.1862685186 5042249.161240538)
188,59,10542,Station Acadie,http://www.stm.info/fr/infos/reseaux/metro/acadie,2,5,0,20S,POINT (295171.4357853312 5042622.951118638)
189,59-01,10542,Station Acadie - Édicule Beaumont,,2,,2,20S,POINT (295176.3948859719 5042647.503493098)
190,59-02,10542,Station Acadie,,2,,2,20S,POINT (295152.9104188422 5042615.533795191)
191,60-01,10544,Station Parc,,2,,2,20S,POINT (295119.8666757359 5043374.8331881)
192,60,10544,Station Parc,http://www.stm.info/fr/infos/reseaux/metro/parc,2,5,0,20S,POINT (295070.8847638434 5043369.796947552)
193,61,10546,Station De Castelnau,http://www.stm.info/fr/infos/reseaux/metro/de-castelnau,2,5,0,20S,POINT (295437.7739166713 5043953.789232106)
194,61-01,10546,Station De Castelnau - Édicule St-Laurent Est,,2,,2,20S,POINT (295434.7566859741 5043973.019465467)
195,61-02,10546,Station De Castelnau - Édicule St-Laurent Ouest,,2,,2,20S,POINT (295427.8185189735 5043929.355203792)
196,62,10552,Station Fabre,http://www.stm.info/fr/infos/reseaux/metro/fabre,2,5,0,20S,POINT (296358.4843853284 5045210.045393122)
197,62-02,10552,Station Fabre (B),,2,,2,20S,POINT (296349.4619948686 5045178.496192909)
198,62-01,10552,Station Fabre - Édicule Papineau (A),,2,,2,20S,POINT (296417.2136794671 5045333.433725918)
199,63,10554,Station D'Iberville,http://www.stm.info/fr/infos/reseaux/metro/d-iberville,2,5,0,20S,POINT (296837.1811603581 5045972.337318991)
200,63-02,10554,Station D'Iberville - Édicule Louis-Hébert,,2,,2,20S,POINT (296780.4362270138 5045863.167272402)
201,63-01,10554,Station D'Iberville - Édicule Iberville,,2,,2,20S,POINT (296829.9415745543 5045989.238535427)
202,64-02,10556,Station Saint-Michel - Édicule Ouest,,2,,2,20S,POINT (297002.8613841078 5046601.801217696)
203,64-01,10556,Station Saint-Michel - Édicule Est,,2,,2,20S,POINT (297006.2749999277 5046647.360994156)
204,64,10556,Station Saint-Michel,http://www.stm.info/fr/infos/reseaux/metro/saint-michel,2,5,0,20S,POINT (296993.0630146004 5046632.485787395)
205,50101,50101,Louis-Hippolyte-La Fontaine / Curatteau,http://m.stm.info/fr/horaires/arrets/50101/bus,1,18,0,20S,POINT (301473.6944438272 5050462.33508642)
206,50102,50102,Saint-Jacques / No 6640,http://m.stm.info/fr/horaires/arrets/50102/bus,1,90,0,20S,POINT (294959.4045173233 5035627.945646484)
207,50103,50103,Saint-Jacques / No 6710,http://m.stm.info/fr/horaires/arrets/50103/bus,1,90,0,20S,POINT (294869.8198609143 5035454.168190409)
208,50104,50104,Gare Canora (Jean-Talon / Wilderton),http://m.stm.info/fr/horaires/arrets/50104/bus,1,"92,372",0,20S,POINT (294466.4117080278 5041526.431140246)
209,50105,50105,Station Viau,http://m.stm.info/fr/horaires/arrets/50105/bus,1,136,0,20S,POINT (301116.9248192933 5046774.953351283)
210,50106,50106,Saint-Joseph / No 3500,http://m.stm.info/fr/horaires/arrets/50106/bus,1,"27,427",0,20S,POINT (299639.4285041634 5045804.483682513)
211,50107,50107,Viau / de Marseille,http://m.stm.info/fr/horaires/arrets/50107/bus,1,"136,353",0,20S,POINT (300970.9779456578 5047090.210337213)
212,50108,50108,Centre sportif Pierre-Charbonneau,http://m.stm.info/fr/horaires/arrets/50108/bus,1,"136,353",0,20S,POINT (300935.531669075 5047080.34138207)
213,50109,50109,Louis-Hippolyte-La Fontaine / Fonteneau,http://m.stm.info/fr/horaires/arrets/50109/bus,1,18,0,20S,POINT (301363.0674205645 5050614.201619668)
214,50110,50110,Gare Montréal-Ouest (Elmhurst/Sherbrooke),http://m.stm.info/fr/horaires/arrets/50110/bus,1,51,0,20S,POINT (293734.2647888407 5034928.975142512)
