Int_no,Rue_1,Rue_2,Arrondissement,X,Y,long,lat
1,Charlevoix,Notre-Dame,Sud-Ouest,298885.28,5038083.29,-73.5756607226542,45.4826496162965
2,Docteur-Penfield,Peel,Ville-Marie,298588.54,5040384.56,-73.5794857229144,45.5033548732072
3,Borden,Somerled,Côte-des-Neiges - Notre-Dame-de-Grâce,294064.9,5036578.94,-73.637289704576,45.4690553168415
4,Cavendish,Côte-Saint-Luc,Côte-des-Neiges - Notre-Dame-de-Grâce,293240.69,5036867.49,-73.6478371657479,45.4716386650898
5,Cavendish,Fielding,Côte-des-Neiges - Notre-Dame-de-Grâce,293705.38,5036607.52,-73.64188818727,45.4693068740853
6,Cavendish,Monkland,Côte-des-Neiges - Notre-Dame-de-Grâce,294459.19,5036147.22,-73.632238114505,45.4651764496005
7,Cavendish,Somerled,Côte-des-Neiges - Notre-Dame-de-Grâce,293990.38,5036449.02,-73.6382398699786,45.4678850876784
8,Cavendish,Terrebonne,Côte-des-Neiges - Notre-Dame-de-Grâce,294224.52,5036321.42,-73.6352428106876,45.4667404684712
9,Coronation,Côte-Saint-Luc,Côte-des-Neiges - Notre-Dame-de-Grâce,292805.38,5036240.3,-73.6533892110861,45.4659875848175
10,Côte-Saint-Luc,Ellerdale/Fielding,Côte-des-Neiges - Notre-Dame-de-Grâce,294122.34,5037438.12,-73.6365737869105,45.4767874876348
11,Côte-Saint-Luc,Grand Boulevard,Côte-des-Neiges - Notre-Dame-de-Grâce,293692.92,5037250.03,-73.6420620612779,45.4750882710212
12,Curatteau,Sherbrooke,Mercier - Hochelaga - Maisonneuve,301959.22,5050476,-73.5364109915765,45.5941831137242
13,Côte-Saint-Luc,Marcil/Somerled,Côte-des-Neiges - Notre-Dame-de-Grâce,294733.7,5037619.25,-73.6287578519344,45.4784264581251
14,Côte-Saint-Luc,Ashdale/Robert-Burns,Côte-des-Neiges - Notre-Dame-de-Grâce,292453.25,5035763.71,-73.6578803205827,45.4616928740266
15,Côte-Saint-Luc,Rosedale,Côte-des-Neiges - Notre-Dame-de-Grâce,292960.75,5036471.14,-73.6514078813595,45.4680674391359
16,Côte-Saint-Luc,Saint-Ignatius,Côte-des-Neiges - Notre-Dame-de-Grâce,292738.26,5036110.25,-73.6542443583179,45.4648161796315
17,Côte-Saint-Luc,Stratford/Wilson,Côte-des-Neiges - Notre-Dame-de-Grâce,294425.62,5037540.5,-73.6326968235769,45.4777133207101
18,Côte-Saint-Luc,Walkley,Côte-des-Neiges - Notre-Dame-de-Grâce,293095.66,5036682.86,-73.6496876148444,45.4699748655227
19,Côte-Saint-Luc,West Hill,Côte-des-Neiges - Notre-Dame-de-Grâce,293491.24,5037102.25,-73.6446381840473,45.4737552433589
20,Draper,Terrebonne,Côte-des-Neiges - Notre-Dame-de-Grâce,294736.07,5037133.62,-73.6287175881613,45.4740565750586
21,Fielding,Grand Boulevard,Côte-des-Neiges - Notre-Dame-de-Grâce,293923.16,5037104.07,-73.6391140169637,45.4737784818143
22,Grand Boulevard,Monkland,Côte-des-Neiges - Notre-Dame-de-Grâce,294741.1,5036593.1,-73.6286421891113,45.4691928014228
23,Grand Boulevard,Somerled,Côte-des-Neiges - Notre-Dame-de-Grâce,294278.24,5036881.77,-73.6345678209759,45.471783566196
24,Grand Boulevard,Terrebonne,Côte-des-Neiges - Notre-Dame-de-Grâce,294498.35,5036742.79,-73.6317498226865,45.470536242311
25,Monkland,Royal,Côte-des-Neiges - Notre-Dame-de-Grâce,294931.98,5036890.78,-73.6262070294942,45.4718741860364
26,Monkland,Wilson,Côte-des-Neiges - Notre-Dame-de-Grâce,295079.15,5037116.18,-73.6243292630766,45.4739045022873
27,Somerled,Walkley,Côte-des-Neiges - Notre-Dame-de-Grâce,293880.15,5036250.05,-73.6396451319075,45.4660929492754
28,Somerled,West Broadway,Côte-des-Neiges - Notre-Dame-de-Grâce,293420.1,5035415.51,-73.645509001665,45.4585760260064
29,Addington,Sherbrooke,Côte-des-Neiges - Notre-Dame-de-Grâce,296109.89,5037011.43,-73.6111443154186,45.4729755016792
30,Beaconsfield,Saint-Jacques,Côte-des-Neiges - Notre-Dame-de-Grâce,295751.57,5036046.1,-73.6157093543735,45.4642844611712
31,Benny,Sherbrooke,Côte-des-Neiges - Notre-Dame-de-Grâce,294890.32,5036115.82,-73.626724211694,45.4649001471918
32,Botrel,Côte-Saint-Antoine,Côte-des-Neiges - Notre-Dame-de-Grâce,295867.85,5037259.61,-73.614244452087,45.4752056850339
33,Botrel,Notre-Dame-de-Grâce,Côte-des-Neiges - Notre-Dame-de-Grâce,295708.02,5037364.35,-73.616290652449,45.4761461203728
34,Botrel,Sherbrooke,Côte-des-Neiges - Notre-Dame-de-Grâce,296166.44,5037053,-73.6104217870287,45.4733502691357
35,Cavendish,Saint-Jacques,Côte-des-Neiges - Notre-Dame-de-Grâce,295086.29,5035736.47,-73.6242106724257,45.4614893295041
36,Cavendish,Sherbrooke,Côte-des-Neiges - Notre-Dame-de-Grâce,294714.51,5035985.47,-73.6289697759635,45.4637246804769
37,Coronation,Monkland/Sherbrooke,Côte-des-Neiges - Notre-Dame-de-Grâce,294091.53,5035536.08,-73.6369264186934,45.4596715857034
38,Côte-Saint-Antoine,Décarie,Côte-des-Neiges - Notre-Dame-de-Grâce,295944.68,5037381.98,-73.6132639848366,45.4763078046548
39,Côte-Saint-Antoine,Girouard,Côte-des-Neiges - Notre-Dame-de-Grâce,295784.48,5037126.03,-73.6153083218751,45.4740025997019
40,Côte-Saint-Antoine,Hampton/Sherbrooke,Côte-des-Neiges - Notre-Dame-de-Grâce,295376.56,5036481,-73.6205132286859,45.4681929367468
41,Côte-Saint-Antoine,Marcil,Côte-des-Neiges - Notre-Dame-de-Grâce,295698.79,5036992.97,-73.6164018281153,45.4728041532179
42,Décarie,Maisonneuve / Upper Lachine,Côte-des-Neiges - Notre-Dame-de-Grâce,296534.95,5037001.42,-73.6057077463719,45.4728905873218
43,Décarie,Monkland inter. Est,Côte-des-Neiges - Notre-Dame-de-Grâce,295451.72,5037697.5,-73.619575181999,45.47914056986
44,Décarie,Monkland inter. Ouest,Côte-des-Neiges - Notre-Dame-de-Grâce,295398.72,5037615.5,-73.6202515415063,45.4784019853879
45,Décarie,Notre-Dame-de-Grâce,Côte-des-Neiges - Notre-Dame-de-Grâce,295784.25,5037485.7,-73.6153178645402,45.4772390711825
46,Décarie,Saint-Jacques,Côte-des-Neiges - Notre-Dame-de-Grâce,296874.7,5036795.12,-73.6013591154516,45.4710381424478
47,Décarie,Sherbrooke,Côte-des-Neiges - Notre-Dame-de-Grâce,296291.12,5037159.6,-73.6088289998699,45.4743110353558
48,Elmhurst,Sherbrooke,Côte-des-Neiges - Notre-Dame-de-Grâce,293738.38,5035019.93,-73.6414304309324,45.4550215205632
49,Elmhurst,Saint-Jacques,Côte-des-Neiges - Notre-Dame-de-Grâce,294066.94,5034838,-73.6372256068681,45.4533895508438
50,Girouard,Monkland,Côte-des-Neiges - Notre-Dame-de-Grâce,295287.25,5037445.34,-73.6216740528942,45.4768692992327
51,Girouard,Notre-Dame-de-Grâce,Côte-des-Neiges - Notre-Dame-de-Grâce,295621.01,5037231.26,-73.6174010616737,45.4749473776118
52,Girouard,Saint-Jacques,Côte-des-Neiges - Notre-Dame-de-Grâce,296636.99,5036580.53,-73.6043956924322,45.4691044232256
53,Girouard,Sherbrooke,Côte-des-Neiges - Notre-Dame-de-Grâce,296044.39,5036962.39,-73.6119811683725,45.4725333989732
