# Vehicles      Load Time (s)       Elapsed Time (s)        CPU Time (s)        # Steps             # Steps / Secs
100				35.131087			187.319933				0.531250			2551.000000         13.618411
100				35.194286			189.512016				0.406250			2551.000000         13.460887
100				35.356974			188.418407				0.343750			2551.000000         13.539016
150				35.493507			185.665470				0.312500			2480.000000         13.357357
100				35.539073			189.742748				0.562500			2551.000000         13.444519
200				35.420548			203.162171				0.390625			2659.000000         13.088066
300				36.013701			217.647480				0.453125			2666.000000         12.149165
400				35.981445			246.334675				0.312500			2962.000000         12.024291
500				35.786963			253.228240				0.531250			3065.000000         12.103705
600				35.678700			267.700719				0.468750			3172.000000         11.849052
700				35.749488			279.644510				0.390625			3242.000000         11.593290
798				35.733939			286.342715				0.500000			3231.000000         11.283681
898				35.433809			303.718526				0.640625			3395.000000         11.178112
998				35.493405			297.945754				0.484375			3226.000000         10.827474
4967			35.057146			1236.245025				2.015625			11938.000000	    9.656662
9938			35.499995			1938.063468				2.843750			14970.000000	    7.724205

Using GUI
# Vehicles      Load Time (s)       Elapsed Time (s)        CPU Time (s)        # Steps             # Steps / Secs
100				40.290459			232.252981				0.406250			2551.000000		    10.983713
200				40.317096			249.565712				0.406250			2659.000000		    10.654509
300				39.878599			259.708150				0.312500			2666.000000 		10.265369
400				39.832182			292.970958				0.484375			2962.000000	    	10.110217
500				39.944721			309.084697				0.640625			3065.000000		    9.916376
600				39.525869			329.682551				0.609375			3172.000000 		9.621377
700				39.624883			339.625890				0.515625			3242.000000	    	9.545798
798				39.681972			347.305368				0.500000			3231.000000		    9.303052
898				40.086035			368.749567				0.593750			3395.000000 		9.206790
998				39.495249			360.188685				0.500000			3226.000000	    	8.956417
